1011.13,8,5,-10
1011.15,-6,3,12
1011.15,-28,6,3
1011.15,-24,19,-4
1011.15,-11,12,17
1011.15,-2,9,-7
1011.15,-1,15,-1
1011.15,-5,14,-4
1011.15,7,11,1
1011.15,2,-5,2
1011.15,-9,-8,-2
1011.15,2,-18,10
1011.15,9,-6,2
1011.15,-6,-13,3
1011.15,6,-15,0
1011.15,-7,2,14
1011.15,10,12,-6
1011.15,-21,17,5
1011.15,-9,17,0
1011.15,-9,18,1
1011.15,6,-3,14
1011.15,3,-1,-1
1011.15,-20,-7,5
1011.15,-8,-13,9
1011.15,-6,-4,13
1011.15,5,12,9
1011.15,8,0,-3
1011.15,3,-7,-6
1011.15,1,-8,0
1011.15,3,3,-3
1011.15,7,8,-15
1011.15,-10,11,10
1011.15,-3,-3,1
1011.15,-5,5,0
1011.15,13,15,-5
1011.15,-11,1,3
1011.15,0,5,3
1011.15,-9,12,11
1011.15,1,-6,13
1011.15,11,-2,-3
1011.15,-7,-3,5
1011.15,8,2,0
1011.15,14,6,-4
1011.15,-2,-16,-9
1011.15,6,7,-1
1011.15,14,-20,5
1011.15,-2,-6,-2
1011.13,14,4,7
1011.13,-8,-20,4
1011.13,-27,6,-7
1011.13,-13,4,-11
1011.13,2,-14,1
1011.13,-13,-4,7
1011.15,-2,0,12
1011.15,-9,5,8
1011.15,1,5,-6
1011.15,-16,17,-9
1011.15,1,1,-8
1011.15,11,8,20
1011.15,9,13,-9
1011.15,5,-2,10
1011.15,-8,-9,-6
1011.15,-3,-3,-3
1011.15,-26,2,2
1011.15,1,-2,-12
1011.15,1,-9,-6
1011.15,0,-11,-8
1011.15,3,4,-2
1011.15,11,-9,4
1011.15,2,16,-3
1011.15,6,4,11
1011.15,14,1,5
1011.15,0,1,-4
1011.15,-8,4,7
1011.15,-2,-7,1
1011.15,-10,12,-2
1011.15,-19,-5,8
1011.15,-17,-10,9
1011.15,-6,-6,14
1011.15,3,5,5
1011.13,4,-5,12
1011.13,3,6,3
1011.13,-2,2,1
1011.13,20,5,-8
1011.13,3,18,5
1011.13,0,7,5
1011.13,-2,13,-10
1011.13,-7,12,-20
1011.13,-11,8,7
1011.13,-14,4,10
1011.13,-6,1,-3
1011.13,-10,-21,1
1011.13,-3,-12,4
1011.13,-3,-14,12
1011.13,-5,-23,1
1011.13,5,-9,3
1011.13,-5,-15,7
1011.13,9,5,1
1011.13,-8,3,-4
