1011.08,-4,0,-13
1011.08,-8,-10,11
1011.08,12,22,-2
1011.08,11,27,2
1011.08,1,-6,-16
1011.08,6,-7,-2
1011.08,9,19,-4
1011.08,2,14,-4
1011.11,-8,-7,-5
1011.11,3,-2,4
1011.11,-11,4,-9
1011.08,-7,8,2
1011.08,-3,-7,14
1011.11,3,-14,8
1011.08,22,-17,-1
1011.08,-30,-8,14
1011.11,4,-5,1
1011.08,9,-16,1
1011.08,-4,6,-13
1011.08,11,-3,-7
1011.07,12,6,-2
1011.08,9,3,2
1011.11,-8,0,4
1011.11,-5,-8,-3
1011.11,-20,-5,-3
1011.11,4,3,-5
1011.13,9,-6,2
1011.13,2,11,-5
1011.13,11,-28,7
1011.11,13,2,-7
1011.08,-17,2,8
1011.13,-1,-9,-12
1011.13,-5,12,-6
1011.11,29,15,10
1011.11,-38,-2,16
1011.13,17,12,0
1011.13,6,23,-5
1011.13,-4,-17,6
1011.11,7,2,1
1011.11,11,4,-2
1011.11,6,1,1
1011.11,-9,6,-2
1011.11,7,-6,10
1011.08,4,-1,-1
1011.11,-8,-2,0
1011.11,-5,16,-3
1011.11,3,-6,-2
1011.07,0,-11,5
1011.11,0,-10,-8
1011.08,6,-2,-1
1011.08,7,0,23
1011.07,-29,-34,38
1011.07,2,0,6
1011.07,-1,23,2
1011.07,-5,5,10
1011.04,2,-6,0
1011.04,4,14,0
1011.04,-5,-8,-13
1011.04,2,16,-6
1011.04,-1,2,0
1011.04,-5,-2,-12
1011.04,11,11,-9
1011.04,-7,-8,7
1011.04,-6,6,-15
1011.03,3,0,-57
1011.03,-13,8,-41
1011.03,4,-19,-162
1011.03,-19,-35,-248
1011.00,-16,25,-153
1011.00,14,-17,-191
1011.00,-7,5,-204
1011.00,30,-22,-214
1010.99,-1,-10,-175
1010.99,-5,-18,-177
1011.00,9,-21,-199
1011.00,30,-14,-193
1011.03,11,4,-194
1011.03,5,-9,-225
1011.04,1,-2,-201
1011.04,9,-17,-163
1011.04,-4,-10,-219
1011.07,-4,-7,-201
1011.07,10,10,-162
1011.07,-11,6,-173
1011.07,-2,5,-133
1011.08,12,17,-112
1011.11,-3,-7,-74
1011.11,-1,10,-54
1011.11,12,0,-23
1011.11,-10,48,-22
1011.15,-21,4,59
1011.15,18,14,15
1011.17,4,2,-13
1011.18,-35,27,5
1011.18,26,-12,-31
1011.21,-29,8,-3
1011.22,-22,-6,-40
1011.21,10,1,31
1011.22,-10,-12,-41
1011.25,-12,4,-40
1011.25,-6,-4,5
1011.25,23,21,42
1011.28,31,-27,-15
1011.28,-5,8,43
1011.29,-9,-3,18
1011.32,10,9,0
1011.32,-12,9,14
1011.33,10,-17,2
1011.33,-16,30,-64
1011.36,7,8,10
1011.36,-39,3,-37
1011.39,-6,-1,14
1011.39,12,-3,39
1011.39,-11,8,-66
1011.42,36,7,38
1011.43,12,2,-37
1011.43,-26,-7,21
1011.46,-16,-7,15
1011.47,-19,-27,-11
1011.50,0,26,43
1011.50,15,-30,-39
1011.50,-10,18,-1
1011.56,28,-20,28
1011.54,-12,23,-1
1011.64,-8,44,-30
1011.56,18,-10,-14
1011.56,21,-5,-18
1011.64,5,-19,69
1011.64,6,1,-59
1011.65,-24,-11,12
1011.68,-5,-9,-78
1011.68,12,-13,9
1011.69,8,-21,18
1011.71,-19,-6,-62
1011.75,-2,-4,-46
1011.75,7,11,41
1011.78,9,21,-72
1011.78,4,11,60
1011.79,26,-17,-33
1011.79,-42,-5,9
1011.78,17,38,-21
1011.79,-13,-15,43
1011.82,-25,-10,25
1011.83,0,11,-33
1011.83,-45,-8,19
1011.85,-8,-1,-3
1011.85,-7,-15,17
1011.88,-26,-12,26
1011.88,23,10,-47
1011.85,11,10,-10
1011.89,3,-16,28
1011.89,-10,21,48
1011.92,43,-39,31
1011.93,-33,39,23
1011.93,30,-10,34
1011.93,-27,25,-47
1011.96,-12,-25,51
1011.96,8,28,-16
1011.97,9,-14,-4
1012.00,-28,4,-25
1012.00,22,-3,-48
1012.00,-18,0,10
1012.01,16,-7,-54
1012.03,-32,11,-8
1012.03,5,2,38
1012.03,-13,-37,-22
1012.07,-14,15,39
1012.07,-6,-31,36
1012.07,-2,-15,61
1012.07,-13,-12,-54
1012.10,19,13,75
1012.10,-5,-10,-51
1012.13,-10,5,23
1012.13,5,-3,-47
1012.13,-46,16,40
1012.14,24,-51,-3
1012.14,4,15,39
1012.17,-9,-10,-22
1012.17,6,0,10
1012.18,3,-7,8
1012.21,13,1,8
1012.21,-11,-7,-15
1012.21,-22,14,46
1012.22,-14,8,27
1012.22,17,-4,-8
1012.26,-7,23,15
1012.26,1,6,-17
1012.26,-3,20,52
1012.28,11,-14,-30
1012.28,-9,7,-34
1012.31,12,12,17
1012.32,10,-20,-11
1012.32,-16,0,1
1012.36,-5,24,6
1012.35,-1,1,-12
1012.36,-29,2,10
1012.36,1,29,-51
1012.39,17,-14,17
1012.39,-16,-20,35
1012.40,21,1,-14
1012.40,-9,12,45
1012.40,22,-8,-18
1012.42,3,-12,19
1012.44,-51,15,13
1012.46,35,16,-22
1012.46,-33,3,-18
1012.46,21,6,16
1012.49,-35,9,16
1012.49,31,-17,-71
1012.49,-12,-4,50
1012.49,13,-13,7
1012.49,-5,13,9
1012.51,12,-2,-27
1012.51,13,-1,10
1012.53,-12,-10,-45
1012.56,7,7,17
1012.56,37,-8,-28
1012.57,-18,1,21
1012.57,4,-6,17
1012.60,-8,3,-32
1012.60,-4,5,18
1012.61,-14,-11,1
1012.63,0,-5,7
1012.63,-23,45,-35
1012.65,-16,-20,-19
1012.65,-28,-12,10
1012.67,22,7,14
1012.65,-22,10,-94
1012.69,6,-16,33
1012.69,-19,5,22
