=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.02 11:21:08 =~=~=~=~=~=~=~=~=~=~=~=
<Wc1%15Ej1E1!155!o55z1A11Y1bzq1C1:E%M5B511
1cc1Bb5uCv11z:1Some values discarded
CALIBRATION COMPLETE  X: -4 Y: 0 Z: -1
13129,-2,1,-13
13229,-3,12,-10
13329,-2,4,-13
13429,-3,-1,-10
13529,-7,1,-11
13629,-5,-4,-13
13729,-3,10,-10
13829,-8,2,-8
13929,-7,-3,-9
14029,-3,5,-5
14129,-2,7,-13
14229,-8,-16,-16
14329,-2,-12,-13
14429,-8,-9,-14
14529,-5,8,-7
14629,-2,4,-11
14729,-1,9,-11
14829,-5,6,-10
14929,-8,0,-9
15029,0,15,-9
15129,-9,-12,-14
15229,-6,-2,-10
15329,-8,-2,-12
15429,-10,-7,-14
15530,-5,1,-12
15630,-4,8,-9
15730,0,10,-6
15830,-6,-7,-15
15930,-6,0,-12
16030,-4,5,-12
16131,-6,1,-14
16231,-4,9,-7
16331,-4,-5,-13
16431,-3,2,-12
16531,-2,11,-7
16631,0,9,-9
16731,-7,4,-13
16831,-5,-3,-11
16931,-1,13,-8
17031,-11,-14,-18
17131,-9,-10,-12
17232,0,17,-9
17332,-3,4,-12
17432,-5,-4,-12
17532,-2,8,-6
17632,-3,6,-8
17732,-5,-5,-14
17832,-5,0,-12
17932,-1,6,-9
18033,-4,-1,-9
18133,-3,3,-12
18233,-5,8,-13
18333,-7,-9,-10
18433,-4,13,-9
18533,-5,-5,-12
18633,-2,4,-9
18733,-6,6,-9
18833,-6,-6,-14
18933,-5,0,-11
19033,-5,2,-12
19133,-6,-3,-15
19233,-1,12,-9
19334,-11,-7,-14
19434,-2,4,-11
19534,-3,4,-9
19634,-5,3,-9
19734,-5,2,-10
19834,-4,12,-9
19934,-7,-11,-13
20034,-4,6,-9
20134,-5,11,-10
20234,-8,-9,-15
20334,-8,-10,-11
20435,-5,2,-11
20535,-6,5,-11
20635,-2,0,-13
20735,-2,7,-10
20835,-3,9,-10
20935,-7,7,-9
21035,-2,1,-10
21135,-3,2,-13
21235,-2,8,-6
21336,-4,-5,-12
21436,-2,6,-10
21536,-3,8,-8
21636,-8,5,-9
21736,-3,4,-11
21836,-6,1,-10
