Time,xAcc,yAcc,zAcc,zGyro
20356,-67,-366,3929,-7
20376,-49,-359,3933,-1
20396,202,-330,3948,-3
20416,83,-341,3981,-21
20436,-138,-331,4047,-19
20456,-119,-320,4072,-5
20476,95,-341,4145,-7
20496,52,-357,4246,-16
20516,-153,-361,4253,-14
20536,-68,-369,4288,-2
20556,97,-370,4268,-5
20576,-27,-375,4288,-14
20596,-139,-367,4311,-5
20616,-2,-369,4264,-1
20636,94,-373,4220,-9
20656,10,-378,4141,-13
20676,-90,-358,4151,-9
20696,40,-360,4140,-6
20716,88,-356,4088,-14
20736,-53,-358,4066,-20
20756,-189,-350,4082,-11
20776,-29,-324,4099,0
20796,94,-346,4053,-9
20816,-27,-356,4055,-14
20836,-113,-356,4104,-8
20856,38,-358,4104,-1
20876,22,-350,4108,-9
20896,-119,-340,4168,-14
20917,15,-381,4235,-7
20937,128,-383,4184,-11
20957,-37,-366,4236,-25
20977,-251,-353,4337,-11
20997,-144,-366,4330,2
21017,138,-366,4262,-2
21037,-83,-370,4339,-13
21057,-56,-332,4331,-2
21077,64,-341,4207,-3
21097,-15,-381,4125,-12
21117,-75,-430,4143,-3
21137,132,-281,3919,-6
21157,147,-342,3962,-25
21177,-267,-349,3834,-26
21197,-269,-336,3836,0
21217,313,-300,3887,-2
