Time,xAcc,yAcc,zAcc,zGyro
6199,-610,-6235,2656,-3950
6219,-465,-6286,2847,-3949
6239,-836,-6233,2940,-3932
6259,-1108,-6230,3547,-3886
6279,-915,-6114,3674,-3829
6299,-660,-6135,4204,-3806
6319,-637,-6070,4414,-3785
6339,-881,-6051,4667,-3759
6359,-872,-6010,4935,-3723
6379,-734,-5959,5060,-3703
6399,-820,-5874,4933,-3688
6419,-894,-5684,4697,-3659
6439,-767,-5526,4449,-3621
6459,-651,-5446,4020,-3610
6479,-975,-5284,3901,-3582
6499,-1137,-5072,3466,-3538
6519,-941,-4859,3134,-3488
6539,-647,-4834,2841,-3466
6559,-852,-4745,2757,-3449
6579,-1059,-4644,2552,-3409
6599,-863,-4558,2669,-3358
6619,-583,-4574,2813,-3336
6639,-753,-4567,3032,-3321
6659,-963,-4535,3422,-3290
6679,-769,-4480,3838,-3234
6699,-615,-4468,4207,-3217
6719,-678,-4445,4604,-3201
6739,-858,-4374,4834,-3174
6759,-821,-4288,4892,-3134
6779,-651,-4224,4974,-3108
6799,-627,-4150,4915,-3092
6819,-762,-4075,4805,-3065
6839,-759,-3982,4544,-3033
6859,-592,-3899,4253,-3007
6879,-494,-3816,3768,-2991
6899,-637,-3736,3524,-2975
6919,-702,-3663,3250,-2954
6939,-594,-3572,3019,-2927
6959,-465,-3540,2886,-2912
6979,-529,-3509,2915,-2903
6999,-635,-3460,2897,-2881
7019,-562,-3442,3085,-2857
7039,-463,-3451,3247,-2844
7059,-468,-3454,3477,-2836
7079,-613,-3449,3896,-2812
7099,-620,-3427,4194,-2789
7119,-501,-3418,4462,-2768
7139,-509,-3388,4705,-2753
7159,-574,-3363,4818,-2738
7179,-588,-3304,4902,-2710
7199,-488,-3264,4827,-2691
7219,-424,-3212,4659,-2674
7239,-484,-3168,4450,-2664
7259,-524,-3095,4155,-2646
7279,-478,-3022,3822,-2619
7299,-423,-2972,3528,-2606
7319,-443,-2913,3282,-2591
7339,-451,-2888,3118,-2572
7359,-395,-2871,3142,-2554
7379,-365,-2825,3051,-2546
7399,-418,-2814,3169,-2531
7419,-458,-2820,3330,-2516
7439,-420,-2833,3557,-2498
7459,-393,-2828,3884,-2488
7479,-446,-2799,4148,-2476
7499,-496,-2787,4393,-2461
7519,-486,-2747,4597,-2442
7539,-454,-2720,4696,-2426
7559,-479,-2685,4789,-2405
7579,-467,-2641,4778,-2383
7599,-454,-2602,4669,-2365
7619,-429,-2553,4455,-2344
7639,-397,-2519,4229,-2326
7659,-365,-2472,3992,-2314
7679,-366,-2434,3763,-2300
7699,-371,-2387,3558,-2287
7719,-349,-2319,3359,-2272
7739,-309,-2281,3293,-2261
7759,-348,-2254,3260,-2252
7779,-422,-2224,3266,-2237
7799,-397,-2177,3383,-2214
7820,-331,-2168,3539,-2203
7840,-382,-2158,3759,-2189
7860,-448,-2160,4006,-2169
7880,-379,-2149,4182,-2147
7900,-292,-2153,4370,-2130
7920,-317,-2148,4517,-2124
7940,-373,-2138,4599,-2104
7960,-319,-2109,4653,-2089
7980,-240,-2099,4615,-2075
8000,-273,-2054,4533,-2066
8020,-310,-2026,4411,-2055
8040,-282,-1974,4186,-2040
8060,-236,-1941,4028,-2032
8080,-257,-1903,3846,-2024
8100,-297,-1856,3638,-2010
8120,-266,-1832,3545,-2001
8140,-208,-1805,3442,-1988
8160,-257,-1779,3427,-1983
8180,-285,-1772,3454,-1970
8200,-257,-1766,3534,-1957
8220,-227,-1766,3669,-1951
8240,-239,-1755,3832,-1941
8260,-287,-1748,4022,-1929
8280,-280,-1753,4184,-1916
8300,-238,-1745,4312,-1903
8320,-240,-1739,4446,-1896
8340,-279,-1731,4536,-1885
8360,-286,-1729,4554,-1870
8380,-220,-1699,4533,-1858
8400,-218,-1673,4448,-1853
8420,-257,-1662,4325,-1845
8440,-263,-1638,4203,-1829
8460,-225,-1618,4070,-1816
8480,-212,-1581,3909,-1809
8500,-226,-1538,3787,-1798
8520,-264,-1524,3673,-1787
8540,-247,-1506,3613,-1776
8560,-230,-1476,3596,-1769
8580,-250,-1460,3633,-1756
8600,-295,-1467,3732,-1746
8620,-283,-1423,3831,-1736
